Date,IsHoliday,Month,Day,Hour,Minute,DayOfWeek,Season,Daylight time,Hora,EPV
10/1/2016 0:00,0,10,1,0,0,7,Autumn,summer-time,0:0,0
10/1/2016 0:15,0,10,1,0,15,7,Autumn,summer-time,0:15,0
10/1/2016 0:30,0,10,1,0,30,7,Autumn,summer-time,0:30,0
10/1/2016 0:45,0,10,1,0,45,7,Autumn,summer-time,0:45,0
10/1/2016 1:00,0,10,1,1,0,7,Autumn,summer-time,1:0,0
10/1/2016 1:15,0,10,1,1,15,7,Autumn,summer-time,1:15,0
10/1/2016 1:30,0,10,1,1,30,7,Autumn,summer-time,1:30,0
10/1/2016 1:45,0,10,1,1,45,7,Autumn,summer-time,1:45,0
10/1/2016 2:00,0,10,1,2,0,7,Autumn,summer-time,2:0,0
10/1/2016 2:15,0,10,1,2,15,7,Autumn,summer-time,2:15,0
10/1/2016 2:30,0,10,1,2,30,7,Autumn,summer-time,2:30,0
10/1/2016 2:45,0,10,1,2,45,7,Autumn,summer-time,2:45,0
10/1/2016 3:00,0,10,1,3,0,7,Autumn,summer-time,3:0,0
10/1/2016 3:15,0,10,1,3,15,7,Autumn,summer-time,3:15,0
10/1/2016 3:30,0,10,1,3,30,7,Autumn,summer-time,3:30,0
10/1/2016 3:45,0,10,1,3,45,7,Autumn,summer-time,3:45,0
10/1/2016 4:00,0,10,1,4,0,7,Autumn,summer-time,4:0,0
10/1/2016 4:15,0,10,1,4,15,7,Autumn,summer-time,4:15,0
10/1/2016 4:30,0,10,1,4,30,7,Autumn,summer-time,4:30,0
10/1/2016 4:45,0,10,1,4,45,7,Autumn,summer-time,4:45,0
10/1/2016 5:00,0,10,1,5,0,7,Autumn,summer-time,5:0,0
10/1/2016 5:15,0,10,1,5,15,7,Autumn,summer-time,5:15,0
10/1/2016 5:30,0,10,1,5,30,7,Autumn,summer-time,5:30,0
10/1/2016 5:45,0,10,1,5,45,7,Autumn,summer-time,5:45,0
10/1/2016 6:00,0,10,1,6,0,7,Autumn,summer-time,6:0,0
10/1/2016 6:15,0,10,1,6,15,7,Autumn,summer-time,6:15,1.0725
10/1/2016 6:30,0,10,1,6,30,7,Autumn,summer-time,6:30,2.145
10/1/2016 6:45,0,10,1,6,45,7,Autumn,summer-time,6:45,3.2175
10/1/2016 7:00,0,10,1,7,0,7,Autumn,summer-time,7:0,4.29
10/1/2016 7:15,0,10,1,7,15,7,Autumn,summer-time,7:15,19.9175
10/1/2016 7:30,0,10,1,7,30,7,Autumn,summer-time,7:30,35.545
10/1/2016 7:45,0,10,1,7,45,7,Autumn,summer-time,7:45,51.1725
10/1/2016 8:00,0,10,1,8,0,7,Autumn,summer-time,8:0,66.8
10/1/2016 8:15,0,10,1,8,15,7,Autumn,summer-time,8:15,58.105
10/1/2016 8:30,0,10,1,8,30,7,Autumn,summer-time,8:30,49.41
10/1/2016 8:45,0,10,1,8,45,7,Autumn,summer-time,8:45,40.715
10/1/2016 9:00,0,10,1,9,0,7,Autumn,summer-time,9:0,32.02
10/1/2016 9:15,0,10,1,9,15,7,Autumn,summer-time,9:15,50.655
10/1/2016 9:30,0,10,1,9,30,7,Autumn,summer-time,9:30,69.29
10/1/2016 9:45,0,10,1,9,45,7,Autumn,summer-time,9:45,87.925
10/1/2016 10:00,0,10,1,10,0,7,Autumn,summer-time,10:0,106.56
10/1/2016 10:15,0,10,1,10,15,7,Autumn,summer-time,10:15,88.32
10/1/2016 10:30,0,10,1,10,30,7,Autumn,summer-time,10:30,70.08
10/1/2016 10:45,0,10,1,10,45,7,Autumn,summer-time,10:45,51.84
10/1/2016 11:00,0,10,1,11,0,7,Autumn,summer-time,11:0,33.6
10/1/2016 11:15,0,10,1,11,15,7,Autumn,summer-time,11:15,48.8575
10/1/2016 11:30,0,10,1,11,30,7,Autumn,summer-time,11:30,64.115
10/1/2016 11:45,0,10,1,11,45,7,Autumn,summer-time,11:45,79.3725
10/1/2016 12:00,0,10,1,12,0,7,Autumn,summer-time,12:0,94.63
10/1/2016 12:15,0,10,1,12,15,7,Autumn,summer-time,12:15,90.825
10/1/2016 12:30,0,10,1,12,30,7,Autumn,summer-time,12:30,87.02
10/1/2016 12:45,0,10,1,12,45,7,Autumn,summer-time,12:45,83.215
10/1/2016 13:00,0,10,1,13,0,7,Autumn,summer-time,13:0,79.41
10/1/2016 13:15,0,10,1,13,15,7,Autumn,summer-time,13:15,90.205
10/1/2016 13:30,0,10,1,13,30,7,Autumn,summer-time,13:30,101
10/1/2016 13:45,0,10,1,13,45,7,Autumn,summer-time,13:45,111.795
10/1/2016 14:00,0,10,1,14,0,7,Autumn,summer-time,14:0,122.59
10/1/2016 14:15,0,10,1,14,15,7,Autumn,summer-time,14:15,106.5425
10/1/2016 14:30,0,10,1,14,30,7,Autumn,summer-time,14:30,90.495
10/1/2016 14:45,0,10,1,14,45,7,Autumn,summer-time,14:45,74.4475
10/1/2016 15:00,0,10,1,15,0,7,Autumn,summer-time,15:0,58.4
10/1/2016 15:15,0,10,1,15,15,7,Autumn,summer-time,15:15,59.38
10/1/2016 15:30,0,10,1,15,30,7,Autumn,summer-time,15:30,60.36
10/1/2016 15:45,0,10,1,15,45,7,Autumn,summer-time,15:45,61.34
10/1/2016 16:00,0,10,1,16,0,7,Autumn,summer-time,16:0,62.32
10/1/2016 16:15,0,10,1,16,15,7,Autumn,summer-time,16:15,48.8125
10/1/2016 16:30,0,10,1,16,30,7,Autumn,summer-time,16:30,35.305
10/1/2016 16:45,0,10,1,16,45,7,Autumn,summer-time,16:45,21.7975
10/1/2016 17:00,0,10,1,17,0,7,Autumn,summer-time,17:0,8.29
10/1/2016 17:15,0,10,1,17,15,7,Autumn,summer-time,17:15,7.5
10/1/2016 17:30,0,10,1,17,30,7,Autumn,summer-time,17:30,6.71
10/1/2016 17:45,0,10,1,17,45,7,Autumn,summer-time,17:45,5.92
10/1/2016 18:00,0,10,1,18,0,7,Autumn,summer-time,18:0,5.13
10/1/2016 18:15,0,10,1,18,15,7,Autumn,summer-time,18:15,3.8475
10/1/2016 18:30,0,10,1,18,30,7,Autumn,summer-time,18:30,2.565
10/1/2016 18:45,0,10,1,18,45,7,Autumn,summer-time,18:45,1.2825
10/1/2016 19:00,0,10,1,19,0,7,Autumn,summer-time,19:0,0
10/1/2016 19:15,0,10,1,19,15,7,Autumn,summer-time,19:15,0
10/1/2016 19:30,0,10,1,19,30,7,Autumn,summer-time,19:30,0
10/1/2016 19:45,0,10,1,19,45,7,Autumn,summer-time,19:45,0
10/1/2016 20:00,0,10,1,20,0,7,Autumn,summer-time,20:0,0
10/1/2016 20:15,0,10,1,20,15,7,Autumn,summer-time,20:15,0
10/1/2016 20:30,0,10,1,20,30,7,Autumn,summer-time,20:30,0
10/1/2016 20:45,0,10,1,20,45,7,Autumn,summer-time,20:45,0
10/1/2016 21:00,0,10,1,21,0,7,Autumn,summer-time,21:0,0
10/1/2016 21:15,0,10,1,21,15,7,Autumn,summer-time,21:15,0
10/1/2016 21:30,0,10,1,21,30,7,Autumn,summer-time,21:30,0
10/1/2016 21:45,0,10,1,21,45,7,Autumn,summer-time,21:45,0
10/1/2016 22:00,0,10,1,22,0,7,Autumn,summer-time,22:0,0
10/1/2016 22:15,0,10,1,22,15,7,Autumn,summer-time,22:15,0
10/1/2016 22:30,0,10,1,22,30,7,Autumn,summer-time,22:30,0
10/1/2016 22:45,0,10,1,22,45,7,Autumn,summer-time,22:45,0
10/1/2016 23:00,0,10,1,23,0,7,Autumn,summer-time,23:0,0
10/1/2016 23:15,0,10,1,23,15,7,Autumn,summer-time,23:15,0
10/1/2016 23:30,0,10,1,23,30,7,Autumn,summer-time,23:30,0
10/1/2016 23:45,0,10,1,23,45,7,Autumn,summer-time,23:45,0
10/2/2016 0:00,0,10,2,0,0,1,Autumn,summer-time,0:0,0
10/2/2016 0:15,0,10,2,0,15,1,Autumn,summer-time,0:15,0
10/2/2016 0:30,0,10,2,0,30,1,Autumn,summer-time,0:30,0
10/2/2016 0:45,0,10,2,0,45,1,Autumn,summer-time,0:45,0
10/2/2016 1:00,0,10,2,1,0,1,Autumn,summer-time,1:0,0
10/2/2016 1:15,0,10,2,1,15,1,Autumn,summer-time,1:15,0
10/2/2016 1:30,0,10,2,1,30,1,Autumn,summer-time,1:30,0
10/2/2016 1:45,0,10,2,1,45,1,Autumn,summer-time,1:45,0
10/2/2016 2:00,0,10,2,2,0,1,Autumn,summer-time,2:0,0
10/2/2016 2:15,0,10,2,2,15,1,Autumn,summer-time,2:15,0
10/2/2016 2:30,0,10,2,2,30,1,Autumn,summer-time,2:30,0
10/2/2016 2:45,0,10,2,2,45,1,Autumn,summer-time,2:45,0
10/2/2016 3:00,0,10,2,3,0,1,Autumn,summer-time,3:0,0
10/2/2016 3:15,0,10,2,3,15,1,Autumn,summer-time,3:15,0
10/2/2016 3:30,0,10,2,3,30,1,Autumn,summer-time,3:30,0
10/2/2016 3:45,0,10,2,3,45,1,Autumn,summer-time,3:45,0
10/2/2016 4:00,0,10,2,4,0,1,Autumn,summer-time,4:0,0
10/2/2016 4:15,0,10,2,4,15,1,Autumn,summer-time,4:15,0
10/2/2016 4:30,0,10,2,4,30,1,Autumn,summer-time,4:30,0
10/2/2016 4:45,0,10,2,4,45,1,Autumn,summer-time,4:45,0
10/2/2016 5:00,0,10,2,5,0,1,Autumn,summer-time,5:0,0
10/2/2016 5:15,0,10,2,5,15,1,Autumn,summer-time,5:15,0
10/2/2016 5:30,0,10,2,5,30,1,Autumn,summer-time,5:30,0
10/2/2016 5:45,0,10,2,5,45,1,Autumn,summer-time,5:45,0
10/2/2016 6:00,0,10,2,6,0,1,Autumn,summer-time,6:0,0
10/2/2016 6:15,0,10,2,6,15,1,Autumn,summer-time,6:15,0.0675
10/2/2016 6:30,0,10,2,6,30,1,Autumn,summer-time,6:30,0.135
10/2/2016 6:45,0,10,2,6,45,1,Autumn,summer-time,6:45,0.2025
10/2/2016 7:00,0,10,2,7,0,1,Autumn,summer-time,7:0,0.27
10/2/2016 7:15,0,10,2,7,15,1,Autumn,summer-time,7:15,17.7175
10/2/2016 7:30,0,10,2,7,30,1,Autumn,summer-time,7:30,35.165
10/2/2016 7:45,0,10,2,7,45,1,Autumn,summer-time,7:45,52.6125
10/2/2016 8:00,0,10,2,8,0,1,Autumn,summer-time,8:0,70.06
10/2/2016 8:15,0,10,2,8,15,1,Autumn,summer-time,8:15,87.2725
10/2/2016 8:30,0,10,2,8,30,1,Autumn,summer-time,8:30,104.485
10/2/2016 8:45,0,10,2,8,45,1,Autumn,summer-time,8:45,121.6975
10/2/2016 9:00,0,10,2,9,0,1,Autumn,summer-time,9:0,138.91
10/2/2016 9:15,0,10,2,9,15,1,Autumn,summer-time,9:15,152.285
10/2/2016 9:30,0,10,2,9,30,1,Autumn,summer-time,9:30,165.66
10/2/2016 9:45,0,10,2,9,45,1,Autumn,summer-time,9:45,179.035
10/2/2016 10:00,0,10,2,10,0,1,Autumn,summer-time,10:0,192.41
10/2/2016 10:15,0,10,2,10,15,1,Autumn,summer-time,10:15,201.385
10/2/2016 10:30,0,10,2,10,30,1,Autumn,summer-time,10:30,210.36
10/2/2016 10:45,0,10,2,10,45,1,Autumn,summer-time,10:45,219.335
10/2/2016 11:00,0,10,2,11,0,1,Autumn,summer-time,11:0,228.31
10/2/2016 11:15,0,10,2,11,15,1,Autumn,summer-time,11:15,232.92
10/2/2016 11:30,0,10,2,11,30,1,Autumn,summer-time,11:30,237.53
10/2/2016 11:45,0,10,2,11,45,1,Autumn,summer-time,11:45,242.14
10/2/2016 12:00,0,10,2,12,0,1,Autumn,summer-time,12:0,246.75
10/2/2016 12:15,0,10,2,12,15,1,Autumn,summer-time,12:15,246.83
10/2/2016 12:30,0,10,2,12,30,1,Autumn,summer-time,12:30,246.91
10/2/2016 12:45,0,10,2,12,45,1,Autumn,summer-time,12:45,246.99
10/2/2016 13:00,0,10,2,13,0,1,Autumn,summer-time,13:0,247.07
10/2/2016 13:15,0,10,2,13,15,1,Autumn,summer-time,13:15,242.5175
10/2/2016 13:30,0,10,2,13,30,1,Autumn,summer-time,13:30,237.965
10/2/2016 13:45,0,10,2,13,45,1,Autumn,summer-time,13:45,233.4125
10/2/2016 14:00,0,10,2,14,0,1,Autumn,summer-time,14:0,228.86
10/2/2016 14:15,0,10,2,14,15,1,Autumn,summer-time,14:15,219.73
10/2/2016 14:30,0,10,2,14,30,1,Autumn,summer-time,14:30,210.6
10/2/2016 14:45,0,10,2,14,45,1,Autumn,summer-time,14:45,201.47
10/2/2016 15:00,0,10,2,15,0,1,Autumn,summer-time,15:0,192.34
10/2/2016 15:15,0,10,2,15,15,1,Autumn,summer-time,15:15,178.8525
10/2/2016 15:30,0,10,2,15,30,1,Autumn,summer-time,15:30,165.365
10/2/2016 15:45,0,10,2,15,45,1,Autumn,summer-time,15:45,151.8775
10/2/2016 16:00,0,10,2,16,0,1,Autumn,summer-time,16:0,138.39
10/2/2016 16:15,0,10,2,16,15,1,Autumn,summer-time,16:15,121.2075
10/2/2016 16:30,0,10,2,16,30,1,Autumn,summer-time,16:30,104.025
10/2/2016 16:45,0,10,2,16,45,1,Autumn,summer-time,16:45,86.8425
10/2/2016 17:00,0,10,2,17,0,1,Autumn,summer-time,17:0,69.66
10/2/2016 17:15,0,10,2,17,15,1,Autumn,summer-time,17:15,53.3675
10/2/2016 17:30,0,10,2,17,30,1,Autumn,summer-time,17:30,37.075
10/2/2016 17:45,0,10,2,17,45,1,Autumn,summer-time,17:45,20.7825
10/2/2016 18:00,0,10,2,18,0,1,Autumn,summer-time,18:0,4.49
10/2/2016 18:15,0,10,2,18,15,1,Autumn,summer-time,18:15,3.3675
10/2/2016 18:30,0,10,2,18,30,1,Autumn,summer-time,18:30,2.245
10/2/2016 18:45,0,10,2,18,45,1,Autumn,summer-time,18:45,1.1225
10/2/2016 19:00,0,10,2,19,0,1,Autumn,summer-time,19:0,0
10/2/2016 19:15,0,10,2,19,15,1,Autumn,summer-time,19:15,0
10/2/2016 19:30,0,10,2,19,30,1,Autumn,summer-time,19:30,0
10/2/2016 19:45,0,10,2,19,45,1,Autumn,summer-time,19:45,0
10/2/2016 20:00,0,10,2,20,0,1,Autumn,summer-time,20:0,0
10/2/2016 20:15,0,10,2,20,15,1,Autumn,summer-time,20:15,0
10/2/2016 20:30,0,10,2,20,30,1,Autumn,summer-time,20:30,0
